"code","name","postal_code","population","code_department","code_city_community","code_canton"
"03052",Chamblet,"03170",1097,"03","200071512","0303"
"03053",Chantelle,"03140",1064,"03","200071389","0306"
"03054",Chapeau,"03340",230,"03","200071140","0314"
"03055",La Chapelaude,"03380",1002,"03","240300657","0307"
"03056",La Chapelle,"03300",372,"03","200071363","0308"
"03057",La Chapelle-aux-Chasses,"03230",212,"03","200071140","0305"
"03058",Chappes,"03390",220,"03","200071512","0303"
"03059",Chareil-Cintrat,"03140",358,"03","200071389","0306"
"03060",Charmeil,"03110",948,"03","200071363","0317"
"03061",Charmes,"03800",396,"03","200071389","0306"
"03062",Charroux,"03140",362,"03","200071389","0306"
"03063",Chassenard,"03510",969,"03","200071884","0305"
"03064",Château-sur-Allier,"03320",177,"03","200071140","0302"
"03065",Châtel-de-Neuvre,"03500",547,"03","200071496","0316"
"03066",Châtel-Montagne,"03250",359,"03","200071363","0308"
"03067",Châtelperron,"03220",147,"03","200071470","0314"
"03068",Châtelus,"03120",112,"03","200071363","0308"
"03069",Châtillon,"03210",316,"03","200071496","0316"
"03070",Chavenon,"03440",135,"03","200071512","0303"
"03071",Chavroches,"03220",253,"03","200071470","0314"
"03072",Chazemais,"03370",498,"03","240300657","0307"
"03073",Chemilly,"03210",634,"03","200071140","0316"
"03074",Chevagnes,"03230",667,"03","200071140","0305"
"03075",Chezelle,"03140",182,"03","200071389","0306"
"03076",Chézy,"03230",236,"03","200071140","0305"
